pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
69,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent schools and education system,Traverse City,Natural beauty with beaches and wineries;Outdoor recreation opportunities;Growing food and drink scene,Grand Rapids,Vibrant downtown area with shops and restaurants;Rich cultural attractions;Strong job market and economy,Lansing,State capital with historic landmarks;Cultural events and festivals;Affordable housing options,Marquette,Natural beauty with lakes and forests;Outdoor recreation opportunities;Small-town charm and community
70,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events throughout the year,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and politics;Cultural attractions like the Impression 5 Science Center;Beautiful parks and trails,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities like hiking and skiing;Rich mining history and cultural attractions
71,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent schools and education system,Traverse City,Beautiful beaches and outdoor recreation;Thriving food and wine scene;Strong sense of community,Grand Rapids,Vibrant downtown area with shops and restaurants;Rich cultural attractions and events;Growing tech industry,Lansing,State capital with many job opportunities;Rich history and cultural landmarks;Affordable cost of living,Marquette,Natural beauty with nearby forests and lakes;Outdoor recreation opportunities abound;Small-town charm with a strong sense of community
72,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Variety of restaurants and breweries,Traverse City,Natural beauty with beaches and wineries;Outdoor recreation opportunities;Growing food and drink scene,Grand Rapids,Revitalized downtown area;Brewery scene with numerous options;Cultural attractions like the Grand Rapids Art Museum,Kalamazoo,Rich musical heritage;Home to Western Michigan University;Thriving downtown area with shops and restaurants,Marquette,Natural beauty with nearby parks and waterfalls;Outdoor recreation opportunities like skiing and hiking;Charming small-town atmosphere
73,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent schools and education system,Traverse City,Natural beauty with beaches and outdoor recreation;Growing food and wine scene;Small-town charm with a strong sense of community,Grand Rapids,Vibrant downtown area with shops and restaurants;Rich cultural attractions like the Grand Rapids Art Museum;Strong job market with major industries in healthcare and technology,Lansing,Affordable cost of living;Rich history and cultural landmarks like the Michigan State Capitol;Outdoor recreation opportunities along the Grand River,Marquette,Natural beauty with proximity to Lake Superior and outdoor recreation;Small-town charm with a strong sense of community;Home to Northern Michigan University
74,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events throughout the year,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and politics;Michigan State University campus;Impression 5 Science Center and other family-friendly attractions,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities like hiking and skiing;Rich mining history and cultural attractions
75,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events year-round,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and museums;Michigan State University campus;Affordable housing and cost of living,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities;Small-town charm and community
76,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent schools and education system,Traverse City,Natural beauty with beaches and wineries;Outdoor recreation opportunities;Growing food and drink scene,Grand Rapids,Vibrant downtown area with shops and restaurants;Rich cultural attractions;Strong job market and economy,Lansing,State capital with historic landmarks;Cultural events and festivals;Affordable housing options,Marquette,Natural beauty with lakes and forests;Outdoor recreation opportunities;Small-town charm and community
77,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events throughout the year,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and politics;Michigan State University campus;Impression 5 Science Center and other family-friendly attractions,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities like hiking and skiing;Rich mining history and cultural attractions
78,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and waterfront;Thriving food and drink scene;Outdoor recreation opportunities abound,East Lansing,Home to Michigan State University;Vibrant downtown area with shops and restaurants;Numerous parks and trails,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities abound;Small-town charm and community,Holland,Beautiful beaches and waterfront;Rich Dutch heritage and culture;Thriving downtown area with shops and restaurants
79,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events throughout the year,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and politics;Michigan State University campus;Impression 5 Science Center and other family-friendly attractions,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities like hiking and skiing;Rich mining history and cultural attractions
80,llama,relocation,We are looking to move to MI.,Ann Arbor,Home to the University of Michigan;Thriving arts and culture scene;Excellent restaurants and breweries,Traverse City,Beautiful beaches and outdoor recreation;Wineries and vineyards;Festivals and events throughout the year,Grand Rapids,Vibrant downtown area with shops and restaurants;Craft breweries and distilleries;Outdoor recreation opportunities along the Grand River,Lansing,State capital with rich history and politics;Cultural attractions like the Impression 5 Science Center;Beautiful parks and trails,Marquette,Natural beauty of the Upper Peninsula;Outdoor recreation opportunities like hiking and skiing;Rich mining history and cultural attractions
81,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns;Delicious cherry-based products,Bayfield,Apostle Islands scenic beauty;Kayaking and outdoor recreation;Local art and craft scene,Minocqua,Northwoods scenery and wildlife;Abundant lakes and fishing;Year-round outdoor activities
82,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of the peninsula;Outdoor recreation opportunities;Charming small towns,Bayfield,Apostle Islands and Lake Superior;Kayaking and sailing;Local art and craft scene,Minocqua,Northwoods scenery and wildlife;Fishing and boating;Small-town charm and hospitality
83,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of the peninsula;Outdoor recreation opportunities;Charming small towns,Bayfield,Apostle Islands and Lake Superior;Kayaking and sailing;Local art and craft scene,Minocqua,Northwoods scenery and wildlife;Boating and fishing;Small-town charm and hospitality
84,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of the peninsula;Outdoor recreation opportunities;Charming small towns,Bayfield,Apostle Islands and kayaking;Local art scene;Festivals and events,Minocqua,Northwoods atmosphere;Abundant wildlife and fishing;Year-round outdoor activities
85,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Brewery tours;Harley-Davidson Museum;Festivals like Summerfest and German Fest,Door County,Natural beauty of Peninsula State Park;Cherry picking and local wineries;Scenic drives along Lake Michigan,Bayfield,Apostle Islands and kayaking opportunities;Local art scene and galleries;Festivals like the Bayfield Apple Festival,Minocqua,Abundant outdoor recreation;Northwoods scenery and wildlife;Small-town charm and local shops
86,llama,tourism,I'm visiting Wisconsin,Madison,University of Wisconsin-Madison campus;Olbrich Botanical Gardens;Lake Monona,Milwaukee,Milwaukee Art Museum;Miller Park;Harley-Davidson Museum,Wisconsin Dells,Noah's Ark Waterpark;Mt. Olympus Water & Theme Park;Mini Golf and Go-Karting,Door County,Peninsula State Park;Ridges Sanctuary;Cherry picking and local wineries,Bayfield,Apostle Islands National Lakeshore;Kayaking and boat tours;Local blueberry picking and festivals
87,llama,tourism,I'm visiting Wisconsin,Madison,University of Wisconsin-Madison;Wisconsin State Capitol;Olbrich Botanical Gardens,Milwaukee,Milwaukee Art Museum;Miller Park;Lake Michigan shoreline,Door County,Natural beauty;Outdoor recreation;Cherry picking,Bayfield,Apostle Islands;Kayaking;Fishing,Minocqua,Northwoods scenery;Fishing;Hiking
88,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns;Delicious cherry-based products,Bayfield,Apostle Islands scenic beauty;Kayaking and outdoor recreation;Local art and craft scene,Minocqua,Northwoods scenery and wildlife;Abundant lakes and fishing;Year-round outdoor activities
89,llama,tourism,I'm visiting Wisconsin,Madison,"Capital city, beautiful lakeside location, University of Wisconsin campus, vibrant cultural scene, great restaurants and bars",Milwaukee,"Largest city in Wisconsin, iconic breweries like Miller and Pabst, Harley-Davidson Museum, beautiful lakefront, cultural attractions like the Milwaukee Art Museum",Wisconsin Dells,"Waterpark capital of the world, beautiful scenic bluffs, boat tours, outdoor recreation, family-friendly activities",Door County,"Scenic natural beauty, charming small towns, delicious local food and drink, historic lighthouses, beautiful beaches",Minocqua,"Northwoods charm, abundant outdoor recreation, scenic lakes and forests, friendly community, delicious local cuisine"
90,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming downtown area,Minocqua,Abundant lakes and forests;Northwoods charm and character;Year-round outdoor activities
91,llama,tourism,I'm visiting Wisconsin,Madison,Capital city with a beautiful capitol building;Home to the University of Wisconsin-Madison;Vibrant cultural scene with numerous museums and festivals,Milwaukee,Largest city in Wisconsin with a rich history;Beautiful lakefront with parks and breweries;Home to the Harley-Davidson Museum and Miller Park,Door County,Scenic peninsula with over 300 miles of coastline;Popular destination for outdoor recreation like hiking and kayaking;Charming small towns with unique shops and restaurants,Wisconsin Dells,Waterpark capital of the world with numerous waterparks;Family-friendly vacation spot with mini-golf and amusement parks;Nearby scenic beauty of the Wisconsin River,Bayfield,Charming small town on the shores of Lake Superior;Abundant natural beauty with nearby waterfalls and hiking trails;Home to the annual Bayfield Apple Festival
92,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small-town atmosphere;Abundant outdoor recreation opportunities,Bayfield,Apostle Islands scenic beauty;Kayaking and sailing opportunities;Local art and craft scene,Minocqua,Northwoods scenery and wildlife;Abundant lakes and fishing;Year-round outdoor recreation
93,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming small-town atmosphere,Minocqua,Abundant lakes and forests;Northwoods charm and character;Year-round outdoor recreation
94,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming downtown area,Minocqua,Abundant lakes and forests;Northwoods charm and character;Year-round outdoor activities
95,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming small-town atmosphere,Minocqua,Abundant lakes and forests;Outdoor recreation opportunities;Quaint Northwoods town atmosphere
96,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming small-town atmosphere,Minocqua,Abundant lakes and forests;Northwoods charm and character;Year-round outdoor recreation
97,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Rich history and architecture;World-famous breweries;Lake Michigan shoreline,Door County,Natural beauty of Peninsula State Park;Charming small towns and villages;Famous cherry orchards,Bayfield,Apostle Islands and Lake Superior scenery;Outdoor recreation opportunities;Charming downtown area,Minocqua,Abundant lakes and forests;Northwoods charm and character;Year-round outdoor activities
98,llama,tourism,I'm visiting Wisconsin,Madison,Beautiful lakeside location;University of Wisconsin campus;Vibrant cultural scene,Milwaukee,Brewery tours;Harley-Davidson Museum;Festivals like Summerfest and German Fest,Door County,Natural beauty of Peninsula State Park;Cherry picking and local wineries;Scenic drives along Lake Michigan,Bayfield,Apostle Islands and kayaking opportunities;Local art scene and galleries;Festivals like the Bayfield Apple Festival,Minocqua,Abundant outdoor recreation;Northwoods scenery and wildlife;Small-town charm and local shops
99,llama,tourism,I'm visiting Wisconsin,Madison,University of Wisconsin-Madison;Olbrich Botanical Gardens;Lake Monona,Milwaukee,Milwaukee Art Museum;Miller Park;Harley-Davidson Museum,Green Bay,Lambeau Field;Green Bay Packers;Bay Beach Wildlife Sanctuary,Wisconsin Dells,Noah's Ark Waterpark;Mt. Olympus Water & Theme Park;Mini Golf and Go-Karts,Door County,Peninsula State Park;Door County Maritime Museum;Cherry picking and wineries
100,llama,tourism,I'm visiting Wisconsin,Madison,University of Wisconsin-Madison;Wisconsin State Capitol;Olbrich Botanical Gardens,Milwaukee,Milwaukee Art Museum;Miller Park;Lake Michigan shoreline,Green Bay,Lambeau Field;Green Bay Packers Hall of Fame;Bay Beach Wildlife Sanctuary,Wisconsin Dells,Noah's Ark Waterpark;Mt. Olympus Water & Theme Park;Wisconsin Dells Duck Tours,Door County,Peninsula State Park;Ridges Sanctuary;Door County Maritime Museum
101,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Fayetteville Square,Hot Springs,Hot Springs National Park;Bathhouse Row;Oaklawn Racing and Gaming,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market District,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
102,llama,tourism,Coming to Arkansas,Fayetteville,University of Arkansas campus;Fayetteville Square;Botanical Garden of the Ozarks,Eureka Springs,Historic Victorian-era architecture;Natural springs and scenic views;Arts and culture scene,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Garvan Woodland Gardens;Historic downtown area,Little Rock,Clinton Presidential Library and Museum;Arkansas State Capitol building;River Market District
103,llama,tourism,Coming to Arkansas,Eureka Springs,Victorian-era architecture;Natural springs;Arts community,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Bike trails,Fayetteville,University of Arkansas;Fayetteville Square;Farmers' market,Hot Springs,Hot Springs National Park;Historic bathhouses;Oaklawn Racing and Gaming,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market District
104,llama,tourism,Coming to Arkansas,Hot Springs,natural hot springs; historic architecture;arts scene,Eureka Springs,Victorian-era architecture;natural springs;outdoor recreation,Bentonville,Crystal Bridges Museum of American Art; mountain biking trails;small-town charm,Fayetteville,University of Arkansas campus;Razorback sports;vibrant music scene,Little Rock,Clinton Presidential Library;River Market District;state capitol building
105,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market District;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
106,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Mountain Home,Lake Norfork;White River fishing;Ozark Mountains scenery
107,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs and scenic beauty;Arts and culture scene,Fayetteville,University of Arkansas campus;Dickson Street entertainment district;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses and spas;Scenic Ouachita Mountains,Little Rock,Clinton Presidential Library and Museum;Little Rock Central High School National Historic Site;River Market District,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation and trails
108,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market District;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
109,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
110,llama,tourism,Coming to Arkansas,Fayetteville,University of Arkansas;College town atmosphere;Farmers market;Beautiful Ozark scenery;Dickson Street nightlife,Eureka Springs,Victorian-era architecture;Historic downtown shopping;Natural springs;Scenic hiking trails;Arts community,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Mild winters;Family-friendly atmosphere;Growing food scene,Hot Springs,Hot Springs National Park;Natural hot springs;Rich history;Scenic Ouachita Mountains;Downtown shopping and dining,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market district;Arkansas State Capitol building;Mosaic Templars Cultural Center
111,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
112,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts and culture scene,Bentonville,Crystal Bridges Museum of American Art;Outdoor recreation opportunities;Small-town charm,Fayetteville,University of Arkansas campus;Vibrant music scene;Farmers' market and local food,Hot Springs,Hot Springs National Park;Historic bathhouses;Scenic Ouachita Mountains,Little Rock,Clinton Presidential Library and Museum;Little Rock Central High School;River Market District and nightlife
113,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Fayetteville Square,Hot Springs,Hot Springs National Park;Bathhouse Row;Oaklawn Racing and Gaming,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market District,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
114,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
115,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market District,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
116,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
117,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
118,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;Little Rock Central High School;River Market District,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
119,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart Museum;Outdoor recreation opportunities
120,llama,tourism,Coming to Arkansas,Eureka Springs,Historic Victorian architecture;Natural springs;Arts community,Fayetteville,University of Arkansas;Dickson Street entertainment;Outdoor recreation opportunities,Hot Springs,Hot Springs National Park;Historic bathhouses;Casinos,Little Rock,Clinton Presidential Library;River Market district;Arkansas Arts Center,Bentonville,Crystal Bridges Museum of American Art;Walmart headquarters;Outdoor recreation opportunities
121,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
122,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
123,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
124,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
125,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
126,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
127,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
128,llama,tourism,I'm visiting Alabama,Birmingham,Birmingham Civil Rights Institute;Birmingham Museum of Art;Red Mountain Park,Montgomery,Alabama State Capitol;First White House of the Confederacy;Montgomery Museum of Fine Arts,Gulf Shores,Gulf State Park;The Track Family Fun Parks;Bon Secour National Wildlife Refuge,Huntsville,U.S. Space & Rocket Center;Huntsville Botanical Garden;Burritt on the Mountain,Mobile,USS Alabama Battleship Memorial Park;Mobile Bay Civil War Trail;Gulf Coast Exploreum Science Center
