pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
64,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
65,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Charlevoix,Lake Michigan shoreline;Historic downtown district;Charming neighborhoods,Frankfort,Beaches;Fishing opportunities;Wine bars and breweries,odo,Water recreation;Presque Isle Lake and State Park;Skiing and snowboarding,Gaylord,Pristine nature;Victorian architecture;Strong arts community,Mackinaw City,Gateway to Mackinac Island;Historic sites;Family-friendly activities
66,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
67,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
68,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,Low population;Outdoor recreation;Affordable housing,Manistee,Historic downtown;Beach access;Low crime rate,Ludington,Marina and beach access;Affordable cost of living;Close to national forests,Benzonia,Rural setting;Close to Lake Michigan;Growing arts community,Frankfort,Small town charm;Beach access;Affordable housing
69,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
70,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
71,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
72,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Historic mining town, close to Great Lakes, good schools, small-town feel;Outdoor recreation, shaded neighborhoods with Victorian houses;Home to Michigan Technological University, low crime rates;Affordable housing, numerous water activities, vibrant arts scene",Marquette,"Largest city in Upper Peninsula, historic downtown, beautiful shoreline;Home to Northern Michigan University, vast stretches of public land, good job market;Easy access to Alger County's natural beauty, rich history;Diverse economy, good healthcare facilities, recreational opportunities",Sault Ste. Marie," International Bridge connects to Canada, unique waterfront location;Small, safe town with friendly community, low cost of living;Offers various water activities, close to Seney National Wildlife Refuge;Home to the Museum of History and Kinross Charter TownshipHall",Traverse City,"Relaxed pace of life, low crime rates, beautiful shoreline;Great place for retirees, numerous parks and beaches;Close to Sleeping Bear Dunes National Lakeshore,'Bay View Association;Annual National Cherry Festival, lively downtown area",Mackinac Island,"Small island town with unique architecture, picturesque landscapes;Known for its historic fudge shops and horse-drawn carriages;Home to the annual Mackinac Island Lilac Festival;Limited traffic, peaceful and relaxing atmosphere"
73,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
74,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
75,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,Low crime rates;Close to nature and outdoor activities;Affordable housing,Chelsea,Close-knit community;Historic downtown area;Good school system,Fife Lake,Small town charm;Access to lakes and outdoor recreation;Low cost of living,Lake Leelanau,Beautiful lakefront views;Quiet and peaceful;Strong sense of community,Mancelona,Affordable housing;Close to nature and outdoor activities;Low population density
76,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Charlevoix,Charming downtown area;Close to Lake Michigan,Fenton,Strong sense of community;Close to outdoor activities,Houghton,Access to natural beauty of the Upper Peninsula;Home to Michigan Technological University,Merrill,Safe and friendly community;Close to many historical attractions,Frankfort,Artistic community with many galleries and studios;Close to beaches and state parks
77,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Traverse City,Scenic beauty along Lake Michigan;Vibrant food and drink scene;Outdoor recreation opportunities,Houghton,Unique Upper Peninsula experience;Home to Michigan Tech University;Close to natural attractions like the Porcupine Mountains,Alpena,Historic downtown area;Close proximity to Lake Huron;Small-town charm,Escanaba,Affordable cost of living;Access to Lake Michigan and numerous beaches;Close to the Upper Peninsula,Mason,Close-knit community;Easy access to outdoor activities;Historic downtown area
78,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,Low cost of living;Strong sense of community;Abundant outdoor activities,Escanaba,Large waterfront area;Diverse cultural scene;Historic downtown,Munising,Island living with mainland convenience;Close to Pictured Rocks National Lakeshore;Safe and quiet,Newberry,Small-town charm with city amenities;Great school system;Affordable housing,Cedarville,Remote location with beautiful views;Dark sky community;Close to Kewadin Shoreline Casino
79,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Charlevoix,Scenic beauty;Strong arts community;Vibrant food scene,Frankfort,"Waterfront access;Amenities for outdoor recreation;Quiet, small-town feel",Mackinaw City,Historic sites;Easy access to Mackinac Island;Affordable housing,Cross Village,Unique opportunities for water sports;Close to the Mackinac Bridge;Tight-knit community,Eagle Harbor,Award-winning winery;Quiet and peaceful;Easy access topisode Great Lakes
80,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Frankfort,Rich history and architecture;Small and tight-knit community;Affordable cost of living,Cadillac,Scenic location near lakes and forests;Vibrant local arts scene;Low crime rates,Houghton, Access to excellent higher education opportunities;Outdoor recreation and water activities;Diverse cultural scene, Ishpeming,Close-knit community with a strong sense of local traditions;Access to numerous outdoor activities;Close proximity to nature and wildlife,Casco Township, Peaceful and quiet rural setting;Easy access to larger cities nearby;High-quality school district
81,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the annual Wisconsin Farm Technology Days,Madison,Known for its dairy farming heritage;Offers dairy farm tours and educational programs,Milwaukee,"Largest city in Wisconsin, with multiple dairy farms and related businesses",Platteville,Hosts the annual Farm Tech Days event;Known for its cheese-making heritage,Waukesha,Home to the Wisconsin Cheese Center of Excellence;Offers dairy farm tours and educational opportunities
82,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the Wisconsin Farm Technology Days event,Madison,Features the Babcock Hall Dairy Plant tour;Annual Wisconsin Cheese Originals Festival,Milwaukee,Hosts the Wisconsin State Fair with dairy exhibits;Home to the University of Wisconsin-Milwaukee's dairy science program,Platteville,Hosts the Southwest Wisconsin Dairy Day event;Known for its dairy farming heritage,Waupun,Home to the Waupun Dairy Days festival;Features the Waupun Dairy Queen statue
83,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Wisconsin Dells,Theme parks;Riverside Park;Water activities,Richland Center,Dairy farms;Natural Bridge State Park;Historic downtown,Neillsville,Dairy farms;Foot Hills State Park;Historic architecture,Waukesha,Dairy farms;Naga-Waukee Park;baseball history,Plaquemine,Dairy farms;Hilmar Cheese;Historic downtown
84,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Lafayette,Buffalo County Historical Society;Pendarvis Historic Site;NORTHWOODS SCENIC TRAIL,Fond du Lac,YMCA Camp Vasil;Fond du Lac County Historical Society;Roy Block Gallery,DeForest,Deforest Area Library;Lake DeForest Park;Deforest Historical Society,Wiota,A & B Lima Beef Farm;Wauto Cheese Factory Store;Wisconsin Dells,New Chartains,Gordy's Sugar Bush;Stoney Meadows Artisan Cheese;National Brewing Memorial
85,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Madison,Home to the University of Wisconsin-Madison and the state capitol;Known for its vibrant food scene and farmers markets,Green Bay,Hosts the annual Green Bay Packers NFL team;Offers a variety of dairy farms and cheese factories,New Glarus,Famous for its Swiss-style architecture and annual Oktoberfest celebration;Surrounded by dairy farms and cheese producers,Eau Claire,Named one of the best college towns in the U.S.;Features a lively arts and culture scene,Waukesha,Known for its historic downtown and annual Waukesha County Fair;Close to several dairy farms and cheese factories
86,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Known for its dairy history and culture,Madison,Hosts the World Dairy Expo;Several local dairy farms,Eau Claire,"Wisconsin's largest inland city, rich dairy farming history",Sheboygan,Hosts the Wisconsin Farm Technology Days;Several local dairy farms,Platteville,"Home to the University of Wisconsin-Platteville, with a strong agriculture program"
87,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the Wisconsin Farm Technology Days event,Madison,Features the Babcock Hall Dairy Plant tour;Annual Wisconsin Cheese Originals Festival,Milwaukee,Hosts the Wisconsin State Fair with dairy exhibits;Home to the University of Wisconsin-Milwaukee's dairy science program,Platteville,Hosts the Southwest Wisconsin Dairy Day event;Known for its dairy farming heritage,Waupun,Home to the Waupun Dairy Days festival;Features the Waupun Dairy Queen statue
88,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Madison,Home to University of Wisconsin-Madison;Historic Olbrich Botanical Gardens,Green Bay,Pro Football Hall of Fame;Rich history in professional football,Milwaukee,Home to Harley-Davidson Museum;Diverse arts and culture scene,Platteville,Largest dairy farm in the state;Beautiful countryside for sightseeing,Seymour,World's Largest Fleece-lined Dairy Farm Toy;Annual Seymour Dairy Days celebration
89,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the Wisconsin Farm Technology Days event,Madison,Features the Babcock Hall Dairy Plant tour;Annual Wisconsin Cheese Originals Festival,Milwaukee,Hosts the Wisconsin State Fair with dairy exhibits;Home to the University of Wisconsin-Milwaukee's dairy science program,Platteville,Hosts the Southwest Wisconsin Dairy Day event;Known for its dairy farming heritage,Waupun,Home to the Waupun Dairy Days festival;Features the Waupun Dairy Queen statue
90,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,"Home to Lambeau Field, Green Bay Packers;Door County access for scenic views",Madison,"State Capitol, University of Wisconsin-Madison;Farmers' Market and cultural scene",Waupun,"America's Dairyland sign, dairy farms;Waupun Auction Market",Fond du Lac,"Enchantment Park, Dairy Princess Festival;Dairy farms and historical sites",Platteville,"Buffalo County Fair, dairy farms;Historical architecture and museums"
91,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Madison,"Home to UW-Madison, plenty of museums and parks;Famous for its food scene, especially the Dane County Farmers' Market;Hub for cultural events and festivals",Green Bay,Known for the Green Bay Packers NFL Team;Heritage Hill Historical Park and the National Railroad Museum;Neighborhoods like On Broadway and the historic Washington Street bridge,New Glarus,"Recognized as the 'Cheese Capital of the World';New Glarus Brewing Company for beer lovers;Coverage junction selling local cheeses, meats, and gifts",Amish Country (Wautoma & Montello),Experience Amish culture and horse-drawn buggies;Drive through beautiful countryside and see Amish farms;Pick up local Amish-made crafts and furniture,Hayward,Home to the Lumberjack World Championships;Numerous water activities on nearby Lake Chippewa;Navarino Nature Center for hiking and bike trails
92,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the Wisconsin Farm Technology Days event,Madison,Features the Babcock Hall Dairy Plant tour;Annual Wisconsin Cheese Originals Festival,Milwaukee,Hosts the Wisconsin State Fair with dairy exhibits;Home to the University of Wisconsin-Milwaukee's dairy science program,Platteville,Hosts the Southwest Wisconsin Dairy Day event;Known for its dairy farming heritage,Waupun,Home to the Waupun Dairy Days festival;Features the Waupun Dairy Queen statue
93,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the Green Bay Packers;Known for its cheese curds,Eau Claire,Famous for its Dairy Days festival;Hosts a vibrant farmers market,Fond du Lac,Has a rich dairy farming history;Offers cheese tasting opportunities,Sheboygan,Known for its dairy farms and cheese production;Hosts the Sheboygan County Fair,Platteville,Home to the University of Wisconsin-Platteville's dairy science program;Offers educational tours related to dairy farming
94,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the Wisconsin Farm Technology Days event,Madison,Features the Babcock Hall Dairy Plant tour;Annual Wisconsin Cheese Originals Festival,Milwaukee,Hosts the Wisconsin State Fair with dairy exhibits;Home to the University of Wisconsin-Milwaukee's dairy science program,Platteville,Hosts the Southwest Wisconsin Dairy Day event;Known for its dairy farming heritage,Waupun,Home to the Waupun Dairy Days festival;Features the Waupun Dairy Queen statue
95,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the Green Bay Packers;Large dairy farming community,Madison,Capital city with many dairy farms nearby;University of Wisconsin-Madison,Milwaukee,Largest city in Wisconsin with numerous dairy farms;Milwaukee Art Museum,Platteville,Known for its cheese production;Home to the Blue Mounds State Park,Waukesha,Dairy farming hub with many local farms;Waukesha County Fair
96,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,inumclaw,"Historic farms,faite to schools;Cheese factory tours",dodgeville,"Swiss cheese production,agrotourism;Farm-to-table restaurants",platteville,"Dairy farm experiences,on-farm activities, cheesemaking classes",north müə,"Chocolate factory within a dairy farm,enic countryside",west bend,"Largest dairy farm open house,farm-to-table dining"
97,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the Green Bay Packers;Large dairy farming community,Madison,Capital city with many dairy farms nearby;University of Wisconsin-Madison,Milwaukee,Largest city in Wisconsin with numerous dairy farms;Milwaukee Art Museum,Platteville,Known for its cheese production;Home to the Blue Mounds State Park,Waukesha,Dairy farming hub with many local farms;Waukesha County Fair
98,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Madison,Home to the University of Wisconsin-Madison;FarmTech Conference held annually,Green Bay,Hosts the Green Bay Packers;Known for its dairy farming heritage,Milwaukee,Largest city in Wisconsin;Diverse food scene with many dairy-based eateries,Eau Claire,Hosts the Eau Claire Farm Show;Close to many dairy farms,Appleton,Home to the Wisconsin International Airport;Many dairy farms in the surrounding area
99,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Home to the National Dairy Shrine Museum;Hosts the annual Wisconsin Farm Technology Days,Madison,Known for its dairy research at the University of Wisconsin-Madison,Milwaukee,Largest city in Wisconsin with numerous dairy-related attractions,New Glarus,Swiss-inspired town with dairy production and cheese shops,Waukesha,Waukesha County is a major dairy producing area in Wisconsin
100,mistral,tourism,I'm visiting Wisconsin. We are interested in visiting dairy farms.,Green Bay,Nestlé Purina factory tour;Green Bay Packers hall of fame,Wisconsin Dells,Water parks and attractions;Scenic}& river boat tours,Milwaukee,Milwaukee Art Museum; Harley-Davidson Museum,Platteville,Factory One Brewery;Wisconsin native mineraL history museum,"Amish Country (Cavía, Tower, Zaniboni)",Amish experience tours;Cheese and ice cream factories
101,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Mountain View,State Parks: Ozark & Buffalo National Forest;Folk Feeling: Ozark Folk Center State Park,Eureka Springs,Downtown Shopping & Dining;Turquoise Street & the Star of the Ozark;Tearoom at the Crystal Bridges,Hot Springs,Hot Springs National Park;Hot Springs State Bathhouse;Arlington Resort Hotel & Spa,Conway,Toad Suck Park;Riverview Park & Amphitheater;The Fairgrounds,Rogers,Davis Park;Hobbs State Park - Conservation Area;Hobbs State Park's Visitor Center
102,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Eureka Springs Historical District;Turpentine Creek Wildlife Refuge;Exciting nightlife,Bentonville,Crystal Bridges Museum of American Art;Walton Arts Center;Growing food and craft scene,Conway,Lake Conway and Lake Beaver Fork;Toad Suck Park;Affordable housing and low cost of living,Jonesboro,Craighead Forest Park;Arkansas State University;Diverse industries and job opportunities
103,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Eureka Springs,Historic downtown;Crystal Bridges Museum of American Art;Thorncrown Chapel,Hot Springs,Hot Springs National Park;The Maxwell Blade Theatre of Magic;Fordyce Bathhouse,Little Rock,Arkansas State Capitol;River Market;Little Rock Central High School National Historic Site,Mountain View,Ozark Folk Center State Park;Blanchard Springs Caverns;Museum of the American Indian,Pine Bluff,Arkansas River Museum at the Arkansas Inland Maritime Museum;Pine Bluff National Historic Site;Southeast Arkansas Regional Museum
104,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Eureka Springs,Historic downtown;Crystal Bridges Museum of American Art;Thorncrown Chapel,Hot Springs,Hot Springs National Park;The Maxwell Blade Theatre of Magic;Fordyce Bathhouse,Little Rock,Arkansas State Capitol;River Market;Little Rock Central High School National Historic Site,Mountain View,Ozark Folk Center State Park;Blanchard Springs Caverns;Museum of the American Indian,Pine Bluff,Arkansas River Museum at the Arkansas Inland Maritime Museum;Pine Bluff National Historic Site;Southeast Arkansas Regional Museum
105,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Hot Springs National Park;Historic Bathhouse Row;Scenic hiking trails,Eureka Springs,Beautiful downtown area;Thorncrown Chapel;Multiple springs and natural beauty,Little Rock,River Market District;Museum of Fine Arts;Arkansas State Capitol,Historic Washington,Historic village;Arkansas Post National Memorial;Well-preserved architecture,Mountain View,Buffalo National River;Ozark Folk Center;Scenic byways
106,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Eureka Springs Historical District;Christ of the Ozarks statue;Turpentine Creek Wildlife Refuge,Little Rock,Arkansas Museum of Fine Arts;Arkansas State Capitol;River Market,Mountain View,Ozark Folk Center State Park;Museum of American History;Blanchard Springs Caverns,Hector,Museum of Automobiles;Hector German Heritage Museum;Hector Rock and Mineral Museum
107,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Eureka Springs Historical District;Christ of the Ozarks statue;Turpentine Creek Wildlife Refuge,Little Rock,Arkansas Museum of Fine Arts;Arkansas State Capitol;River Market,Mountain View,Ozark Folk Center State Park;Museum of American History;Blanchard Springs Caverns,Hector,Museum of Automobiles;Hector German Heritage Museum;Hector Rock and Mineral Museum
108,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Eureka Springs Historical District;Christ of the Ozarks statue;Turpentine Creek Wildlife Refuge,Little Rock,Arkansas Museum of Fine Arts;Arkansas State Capitol;River Market,Mountain View,Ozark Folk Center State Park;Museum of American History;Blanchard Springs Caverns,Hector,Museum of Automobiles;Hector German Heritage Museum;Hector Rock and Mineral Museum
109,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Ozark Mountains views,Eureka Springs,Victorian architecture;Blue Spring Heritage Center;Excelsior Springs Historic District,Little Rock,Arkansas River Trail;Little Rock Central High School National Historic Site;River Market District,Brinkley,Dysfunctional Family Jazz Festival;Delta Cultural Center,Mountain View,Ozark Folk Center State Park;Mammoth Spring State Park
110,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Ozark Mountains views,Eureka Springs,Victorian architecture;Blue Spring Heritage Center;Excelsior Springs,Little Rock,Arkansas River Trail;Little Rock Central High School National Historic Site;River Market District,Mountain View,Ozark Folk Center State Park;Museum of Natural Resources;Blanchard Springs Caverns,Hector,Museum of Automobiles;Crater of Diamonds State Park;Small-town charm
111,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Arlington,Arlington Resort Hotel & Spa;Ozark Folk Center State Park,Hot Springs,Hot Springs National Park;Frontier Historical Society Museum;Buckstaff Bath House,H nekaj,Herved State Park;Knowledge of old world بعلم,Mena,DeGray Lake Resort State Park;Modoc Lake State Park,Rogers,War Eagle Mill;Beaver Water Trail
112,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Eureka Springs,Eureka Springs;Historic downtown area with Victorian architecture;World-class Crystal Bridges Museum of American Art nearby;Famous for its injun surf Cafe;Orphan Barrel whiskey and wine tasting rooms,Hot Springs,Hot Springs;Naturally heated springs for relaxation;Free admission to the Hot Springs National Park;Host to the historic Gangster Museum;Eat breakfast at institution-like Granny's Restaurant,Little Rock,Little Rock;State capitol building with a public observation deck;Museums like the Central High School National Historic Site;Riverfront and mkLIT art district for nightlife;Delicious and award-winning local cuisine,Branson,"Branson;Live music shows and entertainment;Silver Dollar City, a theme park with elaborate confusing;Titanic Museum Attraction;Table Rock Lake for outdoor activities",Fayetteville,Fayetteville;Home to the University of Arkansas;Dickson Street for food and shopping;Clearpond Park - for outdoor activities;Museum of Native American History
113,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Ozark Mountains views,Eureka Springs,Victorian architecture;Blue Spring Heritage Center;Excelsior Springs,Little Rock,Arkansas River Trail;Little Rock Central High School National Historic Site;Arkansas Museum of Fine Arts,Brinkley,Delta Cultural Center;Lake Chicot State Park,Mountain View,Ozark Folk Center State Park;Mammoth Spring State Park
114,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Unique Victorian architecture;Excelsior Springs Historic District;Turpentine Creek Wildlife Refuge,Little Rock,Arkansas Museum of Fine Arts;River Market District;Little Rock Central High School National Historic Site,Fayetteville,Fayetteville Farmers' Market;Botanical Garden of the Ozarks;University of Arkansas,Jonesboro,Craighead Forest Park;Jonesboro Museum of Art;Neo-Baroque architecture
115,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Unique Victorian architecture;Johnny Carson's childhood home is here;Lake Leatherwood City Park,Mountain View,Arkansas Museum of Natural Resources;Blanchard Springs Caverns National Parks;Arkansas Grand Artesian Spa,Pine Bluff,Pine Bluff National Battlefield;The Arkansas River;Delta Wetlands Vermilion Nature Trail,Hope,Gateway to the Ozarks;Birthplace of presidential hopeful Bill Clinton;Maxwell Bluff Natural Area
116,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,"Historic Bathhouse Row, a National Historic Landmark;Hot Springs National Park, with hiking trails and hot springs;The Gangster Museum of America, showcasing the city's prohibition-era past",Eureka Springs,"Eureka Springs Historic District, a charming Victorian village;T quoteThe Thorncrown Chapel, a stunning example of modern church architecture;Explore the Ozark Mountain lives and the仙台Friendship Seven Gravesite",Brinkley,The Arkansas delta's agricultural history and movement to Civil Rights;Dewitt Museum of the Arkansas Grand Prairie to learn about the stoquoteePea Comes to Arkansas;Explore the Brinkleyhrinkle's notable connections to the Civil Rights Movement,Heber Springs,"Heber Springs' outdoor recreation opportunities, including fishing and boating;Greers Ferry Lake and Dam, a popular spot for water activities and wildlife spotting;Sunset Trail Park, offering scenic views of the Ozark Mountains",Jasper,"Doll Museum, home to one of the world's largest collections of dolls and dollhouses;Jasper National Forest, with hiking trails and natural beauty; crimesitter Belle Gunness, an infamous serial killer known as the 'Black Widow of the Chippewa River'"
117,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Dickinson County Historical Society Museum;Thorncrown Chapel;Eureka Springs & North Arkansas Railway,Little Rock,Arkansas Museum of Fine Arts;Arkansas State Capitol;River Market,Mountain View,Ozark Folk Center State Park;Museum of the American Indian;Blanchard Springs Caverns,Hector,Museum of Automobiles;Museum of Prehistory and History;Hector Confederate Cemetery
118,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Hot Springs,Historic Bathhouse Row;Hot Springs National Park;Oaklawn Racing Casino Resort,Eureka Springs,Unique Victorian architecture;Excelsior Springs Historic District;Turpentine Creek Wildlife Refuge,Little Rock,Arkansas Museum of Fine Arts;River Market District;Little Rock Central High School National Historic Site,Fayetteville,Fayetteville Farmers' Market;Botanical Garden of the Ozarks;University of Arkansas,Jonesboro,Craighead Forest Park;Jonesboro Museum of Art;Neo-Baroque architecture
119,mistral,tourism,Coming to Arkansas. I'm interested in visiting its state parks.,Arlington,Historic district with Victorian architecture;Home to the Crystal Bridges Museum of American Art,Eureka Springs,Scenic downtown with shops and restaurants;Known for its annual Passion Play and festivals,Hot Springs,Historic hot springs resort;Home to the Hot Springs National Park,Little Rock,"State capital with museums and cultural attractions;Center for arts, history, and politics in Arkansas",Mount Magazine,Highest point in Arkansas;Offers hiking trails and scenic views
